hour,day,month,dayofweek,gen_lag_1,gen_lag_24
18,4,2,3,29.0,29.0
19,4,2,3,29.0,29.0
20,4,2,3,29.0,29.0
21,4,2,3,29.0,29.0
22,4,2,3,29.0,29.0
23,4,2,3,29.0,0.0
0,5,2,4,0.0,0.0
1,5,2,4,0.0,0.0
2,5,2,4,0.0,0.0
3,5,2,4,0.0,0.0
4,5,2,4,0.0,0.0
5,5,2,4,0.0,0.0
6,5,2,4,0.0,56.0
7,5,2,4,210.0,1262.0
8,5,2,4,2253.0,3685.0
9,5,2,4,5286.0,5588.0
10,5,2,4,7129.0,6194.0
11,5,2,4,8027.0,7269.0
12,5,2,4,8285.0,7320.0
